"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","P/L"
"28","2025-01-28"," 4:00:00 PM","2025-01-28"," 4:22:00 PM","","","","","","","-86.73"
"28.1","2025-01-28"," 4:00:00 PM","2025-01-28"," 4:22:00 PM","CE","103200","Sell","0.01","78.85","15.82","53.55"
"28.2","2025-01-28"," 4:00:00 PM","2025-01-28"," 4:22:00 PM","PE","102800","Sell","0.01","110.04","275.10","-140.25"
"29","2025-01-29"," 4:00:00 PM","2025-01-29"," 5:08:00 PM","","","","","","","169.56"
"29.1","2025-01-29"," 4:00:00 PM","2025-01-29"," 5:08:00 PM","CE","102800","Sell","0.01","96.79","7.75","75.65"
"29.2","2025-01-29"," 4:00:00 PM","2025-01-29"," 5:08:00 PM","PE","102400","Sell","0.01","123.49","13.05","93.50"
"30","2025-01-30"," 4:00:00 PM","2025-01-30"," 5:10:00 PM","","","","","","","150.36"
"30.1","2025-01-30"," 4:00:00 PM","2025-01-30"," 5:10:00 PM","CE","105400","Sell","0.01","117.01","9.35","91.80"
"30.2","2025-01-30"," 4:00:00 PM","2025-01-30"," 5:10:00 PM","PE","105000","Sell","0.01","75.53","6.30","58.65"
"31","2025-01-31"," 4:00:00 PM","2025-01-31"," 4:40:00 PM","","","","","","","-8.60"
"31.1","2025-01-31"," 4:00:00 PM","2025-01-31"," 4:40:00 PM","CE","104400","Sell","0.01","78.96","187.16","-91.80"
"31.2","2025-01-31"," 4:00:00 PM","2025-01-31"," 4:40:00 PM","PE","104000","Sell","0.01","106.63","8.55","83.30"
"32","2025-02-01"," 4:00:00 PM","2025-02-01"," 4:22:00 PM","","","","","","","-1.94"
"32.1","2025-02-01"," 4:00:00 PM","2025-02-01"," 4:22:00 PM","CE","102000","Sell","0.01","69.24","18.72","43.35"
"32.2","2025-02-01"," 4:00:00 PM","2025-02-01"," 4:22:00 PM","PE","101600","Sell","0.01","35.20","88.00","-45.05"
"33","2025-02-02"," 4:00:00 PM","2025-02-02"," 4:53:00 PM","","","","","","","93.13"
"33.1","2025-02-02"," 4:00:00 PM","2025-02-02"," 4:53:00 PM","CE","99600","Sell","0.01","111.94","8.95","87.55"
"33.2","2025-02-02"," 4:00:00 PM","2025-02-02"," 4:53:00 PM","PE","99200","Sell","0.01","142.08","135.50","5.95"
